EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
37	00:05:38	3	0.0125	0.06430860664554391	0.10214658081531525	0.9203	0.923	0.9216	0.12993213534355164	0.8749	0.9006	0.8876
38	00:10:58	0	0.0063	0.06075802949123871	0.10171414166688919	0.9317	0.9057	0.9185	0.12606500089168549	0.8888	0.8914	0.8901
39	00:16:20	1	0.0063	0.06270356125500838	0.10022943466901779	0.9326	0.9057	0.919	0.12451291084289551	0.8896	0.8882	0.8889
40	00:21:38	2	0.0063	0.06074670167949319	0.10148488730192184	0.9323	0.9018	0.9168	0.12620960175991058	0.8925	0.8875	0.89
41	00:26:58	3	0.0063	0.059869495431173404	0.10171288996934891	0.9314	0.9018	0.9164	0.1265949010848999	0.8895	0.8875	0.8885
42	00:32:15	0	0.0031	0.058693574404766316	0.10132317245006561	0.9314	0.9018	0.9164	0.12688110768795013	0.887	0.8908	0.8889
43	00:37:36	1	0.0031	0.06502931738270364	0.10076192021369934	0.9326	0.9057	0.919	0.12543506920337677	0.8903	0.8895	0.8899
44	00:42:57	2	0.0031	0.058280705790596944	0.10179588943719864	0.9326	0.9057	0.919	0.1267388015985489	0.8864	0.8908	0.8886
45	00:48:20	3	0.0031	0.06065207148984594	0.10179856419563293	0.9308	0.9057	0.9181	0.12676575779914856	0.8854	0.8914	0.8884
46	00:53:40	0	0.0016	0.05968323509710526	0.10181813687086105	0.9314	0.9018	0.9164	0.12689271569252014	0.8899	0.8908	0.8903
47	00:59:04	1	0.0016	0.06146111077353623	0.10147504508495331	0.9314	0.9018	0.9164	0.12678280472755432	0.8898	0.8895	0.8896
48	01:04:24	2	0.0016	0.05816494401313448	0.10134574770927429	0.9314	0.9018	0.9164	0.1263548880815506	0.892	0.8885	0.8902
49	01:09:47	3	0.0016	0.060226206079684	0.10143564641475677	0.9314	0.9018	0.9164	0.12620411813259125	0.8887	0.8901	0.8894
50	01:15:08	0	0.0008	0.05952547234069466	0.10121720284223557	0.9314	0.9018	0.9164	0.12600678205490112	0.891	0.8901	0.8905
51	01:20:28	1	0.0008	0.06012316515114277	0.1011812835931778	0.9314	0.9018	0.9164	0.12629461288452148	0.891	0.8901	0.8905
52	01:25:50	2	0.0008	0.0629104498707881	0.10133399069309235	0.9314	0.9018	0.9164	0.12611699104309082	0.8881	0.8901	0.8891
53	01:31:14	3	0.0008	0.05874468546551472	0.10143887251615524	0.9314	0.9018	0.9164	0.1262790858745575	0.8916	0.8901	0.8908
54	01:36:37	0	0.0004	0.06142343388120532	0.10139966011047363	0.9314	0.9018	0.9164	0.12630076706409454	0.8904	0.8901	0.8902
55	01:42:00	1	0.0004	0.057034784961781826	0.10125948488712311	0.9314	0.9018	0.9164	0.1261691153049469	0.8893	0.8901	0.8897
56	01:47:25	2	0.0004	0.061557342065741524	0.10128641873598099	0.9314	0.9018	0.9164	0.12625449895858765	0.8904	0.8901	0.8902
57	01:52:46	3	0.0004	0.06178267038735788	0.1012803167104721	0.9314	0.9018	0.9164	0.1262749284505844	0.8881	0.8901	0.8891
58	01:58:12	0	0.0002	0.06203423703138988	0.10124971717596054	0.9314	0.9018	0.9164	0.12611442804336548	0.8887	0.8901	0.8894
59	02:03:34	1	0.0002	0.05973594354673862	0.10122962296009064	0.9314	0.9018	0.9164	0.12608608603477478	0.8887	0.8901	0.8894
60	02:08:59	2	0.0002	0.06228430083657974	0.10118667781352997	0.9314	0.9018	0.9164	0.1260814368724823	0.8881	0.8901	0.8891
61	02:14:21	3	0.0002	0.06018882311000844	0.10119954496622086	0.9314	0.9018	0.9164	0.1260858029127121	0.8887	0.8901	0.8894
