EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	13:34:05	0	0.1000	1.1344067258692212	0.38642746210098267	0.888	0.5572	0.6847	0.4218566417694092	0.8606	0.5556	0.6753
1	13:36:28	0	0.1000	0.48144780080707095	0.2603897750377655	0.924	0.638	0.7548	0.29455554485321045	0.9071	0.6048	0.7257
2	13:38:53	0	0.1000	0.37888626545052606	0.2142544984817505	0.8652	0.6936	0.77	0.23693549633026123	0.884	0.6759	0.7661
3	13:41:15	0	0.1000	0.3299802355692102	0.1972694844007492	0.886	0.7177	0.793	0.2215851992368698	0.8831	0.7118	0.7883
4	13:43:39	0	0.1000	0.30247473409214487	0.1707935482263565	0.8857	0.7482	0.8112	0.19556817412376404	0.8897	0.7392	0.8075
5	13:46:04	0	0.1000	0.276178338643759	0.17341913282871246	0.8542	0.787	0.8192	0.19404460489749908	0.8424	0.7806	0.8103
6	13:48:28	0	0.1000	0.26695477765719156	0.178379625082016	0.9226	0.6884	0.7885	0.2073143869638443	0.9106	0.6541	0.7613
7	13:50:46	1	0.1000	0.2523737136126655	0.1564188450574875	0.9005	0.7597	0.8241	0.18179649114608765	0.8917	0.7304	0.803
8	13:53:10	0	0.1000	0.24187077539063048	0.15879563987255096	0.9144	0.7513	0.8249	0.18280242383480072	0.9017	0.718	0.7994
9	13:55:35	0	0.1000	0.23561716406988592	0.14747460186481476	0.8937	0.7849	0.8358	0.1722787618637085	0.8915	0.7532	0.8165
10	13:58:00	0	0.1000	0.2272543747487985	0.14149489998817444	0.8911	0.7901	0.8376	0.16013631224632263	0.8779	0.776	0.8238
11	14:00:29	0	0.1000	0.22674498881447902	0.1474544107913971	0.8161	0.8426	0.8291	0.1706421673297882	0.7852	0.8187	0.8016
12	14:02:50	1	0.1000	0.2145277857391189	0.1337377429008484	0.9023	0.7943	0.8449	0.1549137681722641	0.884	0.7806	0.8291
13	14:05:14	0	0.1000	0.21699413299743503	0.13379155099391937	0.896	0.8048	0.848	0.15578249096870422	0.8646	0.791	0.8262
14	14:07:45	0	0.1000	0.21154375796283176	0.12970569729804993	0.8983	0.7975	0.8449	0.14693813025951385	0.8844	0.7705	0.8235
15	14:10:11	1	0.1000	0.2094906680247004	0.13526493310928345	0.8556	0.8332	0.8443	0.153221994638443	0.8357	0.8145	0.825
16	14:12:32	2	0.1000	0.20179917151838261	0.12917011976242065	0.8938	0.8216	0.8562	0.15288513898849487	0.871	0.7949	0.8312
17	14:14:59	0	0.1000	0.19652731584281882	0.13026027381420135	0.8893	0.7922	0.8379	0.14869700372219086	0.8829	0.7643	0.8193
18	14:17:19	1	0.1000	0.19236423474587616	0.14194588363170624	0.8152	0.8468	0.8307	0.16399243474006653	0.7968	0.8425	0.819
19	14:19:40	2	0.1000	0.19354206256864276	0.13066069781780243	0.8789	0.8227	0.8499	0.15278401970863342	0.8401	0.807	0.8232
20	14:22:01	3	0.1000	0.18970331717224143	0.12428192049264908	0.8549	0.8468	0.8508	0.1481696218252182	0.83	0.834	0.832
21	14:24:22	0	0.0500	0.17868634401635697	0.11994825303554535	0.8803	0.8332	0.8561	0.13624799251556396	0.8651	0.8151	0.8394
22	14:26:41	1	0.0500	0.173214465996704	0.11975179612636566	0.9067	0.8153	0.8586	0.13626955449581146	0.8827	0.7975	0.8379
23	14:29:06	0	0.0500	0.17011581426058178	0.11766296625137329	0.8661	0.8416	0.8537	0.13482511043548584	0.846	0.8291	0.8375
24	14:31:25	1	0.0500	0.17590583196005227	0.1180807575583458	0.8939	0.8311	0.8614	0.13587211072444916	0.8688	0.8096	0.8382
25	14:33:49	0	0.0500	0.16756567049746246	0.11824361234903336	0.8547	0.8458	0.8502	0.1367863416671753	0.8478	0.8373	0.8425
26	14:36:09	1	0.0500	0.16511623247632662	0.12056263536214828	0.8559	0.8478	0.8518	0.14207597076892853	0.8443	0.8484	0.8463
27	14:38:29	2	0.0500	0.16856317724273495	0.11506491899490356	0.8912	0.8426	0.8662	0.13274168968200684	0.8696	0.822	0.8451
28	14:40:54	0	0.0500	0.1687326280394318	0.11591757833957672	0.8747	0.8353	0.8545	0.13317693769931793	0.8592	0.8256	0.8421
29	14:43:13	1	0.0500	0.15949802189800683	0.11478694528341293	0.8706	0.8468	0.8585	0.13723744451999664	0.8534	0.8389	0.8461
